from_2021,to_2026,seats,flow
DMK,TVK,65,DMK → TVK
DMK,DMK,40,DMK → DMK
AIADMK,TVK,26,AIADMK → TVK
AIADMK,AIADMK,22,AIADMK → AIADMK
DMK,AIADMK,22,DMK → AIADMK
AIADMK,DMK,15,AIADMK → DMK
INC,TVK,11,INC → TVK
INC,INC,4,INC → INC
DMK,PMK,3,DMK → PMK
PMK,AIADMK,2,PMK → AIADMK
BJP,TVK,2,BJP → TVK
PMK,TVK,2,PMK → TVK
BJP,DMK,2,BJP → DMK
CPI,CPI,2,CPI → CPI
DMK,CPI(M),1,DMK → CPI(M)
DMK,AMMK,1,DMK → AMMK
CPI(M),TVK,1,CPI(M) → TVK
CPI(M),CPI(M),1,CPI(M) → CPI(M)
AIADMK,IUML,1,AIADMK → IUML
AIADMK,INC,1,AIADMK → INC
AIADMK,VCK,1,AIADMK → VCK
DMK,IUML,1,DMK → IUML
INC,DMK,1,INC → DMK
INC,DMDK,1,INC → DMDK
INC,BJP,1,INC → BJP
PMK,PMK,1,PMK → PMK
VCK,AIADMK,1,VCK → AIADMK
VCK,DMK,1,VCK → DMK
VCK,TVK,1,VCK → TVK
VCK,VCK,1,VCK → VCK
