region,party,votes,total,vote_share_pct,year
Central,AIADMK,2985532,8397447,35.55,2021
Central,BJP,113463,8397447,1.35,2021
Central,DMK,3267059,8397447,38.91,2021
Central,INC,249010,8397447,2.97,2021
Central,NTK,414122,8397447,4.93,2021
Central,PMK,677106,8397447,8.06,2021
Central,VCK,156548,8397447,1.86,2021
Chennai Metro,AIADMK,1858457,6557250,28.34,2021
Chennai Metro,BJP,71448,6557250,1.09,2021
Chennai Metro,DMK,2973202,6557250,45.34,2021
Chennai Metro,INC,278374,6557250,4.25,2021
Chennai Metro,NTK,555575,6557250,8.47,2021
Chennai Metro,PMK,154912,6557250,2.36,2021
Delta,AIADMK,2065035,6153805,33.56,2021
Delta,BJP,49560,6153805,0.81,2021
Delta,DMK,2499797,6153805,40.62,2021
Delta,INC,155477,6153805,2.53,2021
Delta,NTK,459770,6153805,7.47,2021
Delta,PMK,121903,6153805,1.98,2021
Delta,VCK,66281,6153805,1.08,2021
Kongu,AIADMK,2559474,6478385,39.51,2021
Kongu,BJP,348662,6478385,5.38,2021
Kongu,DMK,2227231,6478385,34.38,2021
Kongu,INC,250211,6478385,3.86,2021
Kongu,NTK,347245,6478385,5.36,2021
North,AIADMK,2378691,7499975,31.72,2021
North,BJP,107618,7499975,1.43,2021
North,DMK,2764050,7499975,36.85,2021
North,INC,181516,7499975,2.42,2021
North,NTK,394786,7499975,5.26,2021
North,PMK,774615,7499975,10.33,2021
North,VCK,234934,7499975,3.13,2021
South,AIADMK,3543785,11149630,31.78,2021
South,BJP,522759,11149630,4.69,2021
South,DMK,3698761,11149630,33.17,2021
South,INC,861939,11149630,7.73,2021
South,NTK,870476,11149630,7.81,2021
South,PMK,30238,11149630,0.27,2021
Central,AIADMK,2405482,8909871,27.0,2026
Central,BJP,60297,8909871,0.68,2026
Central,DMK,2065288,8909871,23.18,2026
Central,INC,107233,8909871,1.2,2026
Central,NTK,259658,8909871,2.91,2026
Central,PMK,495093,8909871,5.56,2026
Central,TVK,2764172,8909871,31.02,2026
Central,VCK,294413,8909871,3.3,2026
Chennai Metro,AIADMK,1126638,7068864,15.94,2026
Chennai Metro,BJP,71933,7068864,1.02,2026
Chennai Metro,DMK,1718606,7068864,24.31,2026
Chennai Metro,INC,193964,7068864,2.74,2026
Chennai Metro,NTK,249860,7068864,3.53,2026
Chennai Metro,PMK,44558,7068864,0.63,2026
Chennai Metro,TVK,3296372,7068864,46.63,2026
Delta,AIADMK,1265240,6473974,19.54,2026
Delta,BJP,223581,6473974,3.45,2026
Delta,DMK,1790960,6473974,27.66,2026
Delta,INC,180415,6473974,2.79,2026
Delta,NTK,294284,6473974,4.55,2026
Delta,PMK,88841,6473974,1.37,2026
Delta,TVK,2128265,6473974,32.87,2026
Kongu,AIADMK,1659501,6956187,23.86,2026
Kongu,BJP,298133,6956187,4.29,2026
Kongu,DMK,1782145,6956187,25.62,2026
Kongu,INC,247189,6956187,3.55,2026
Kongu,NTK,242874,6956187,3.49,2026
Kongu,TVK,2399218,6956187,34.49,2026
North,AIADMK,2018506,8096220,24.93,2026
North,BJP,139383,8096220,1.72,2026
North,DMK,1659584,8096220,20.5,2026
North,INC,232488,8096220,2.87,2026
North,NTK,215819,8096220,2.67,2026
North,PMK,442253,8096220,5.46,2026
North,TVK,2676796,8096220,33.06,2026
North,VCK,179308,8096220,2.21,2026
South,AIADMK,1986779,11819005,16.81,2026
South,BJP,673697,11819005,5.7,2026
South,DMK,2912561,11819005,24.64,2026
South,INC,700023,11819005,5.92,2026
South,NTK,710042,11819005,6.01,2026
South,TVK,3961386,11819005,33.52,2026
South,VCK,66335,11819005,0.56,2026
