ac_number,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin,total_valid_votes,winner_vote_share,num_candidates,region,reserved,year,district
1,Gummidipundi,GOVINDARAJAN T.J,DMK,126452,PRAKASH M,PMK,75514,50938,222069,56.94,13,Chennai Metro,GEN,2021,Tiruvallur
2,Ponneri,DURAI. CHANDRASEKAR,INC,94528,BALARAMAN. P,AIADMK,84839,9689,210354,44.94,11,Chennai Metro,SC,2021,Tiruvallur
3,Tiruttani,S.Chandran,DMK,120314,G.Hari,AIADMK,91061,29253,232624,51.72,15,Chennai Metro,GEN,2021,Tiruvallur
4,Thiruvallur,"RAAJENDRAN, V.G.",DMK,107709,"RAMANAH, BE VEE",AIADMK,85008,22701,214243,50.27,12,Chennai Metro,GEN,2021,Tiruvallur
5,Poonamallee,Krishnaswamy A,DMK,149578,Rajamannar S X,PMK,55468,94110,263736,56.72,15,Chennai Metro,SC,2021,Tiruvallur
6,Avadi,Nasar S M,DMK,150287,Pandiarajan K,AIADMK,95012,55275,300927,49.94,21,Chennai Metro,GEN,2021,Tiruvallur
7,Maduravoyal,GANAPATHY.K,DMK,121298,BENJAMIN.P,AIADMK,89577,31721,273870,44.29,21,Chennai Metro,GEN,2021,Tiruvallur
8,Ambattur,JOSEPH SAMUEL,DMK,114554,V ALEXANDER,AIADMK,72408,42146,240299,47.67,24,Chennai Metro,GEN,2021,Tiruvallur
9,Madavaram,SUDHARSANAM. S,DMK,151485,Moorthy. V,AIADMK,94414,57071,302700,50.04,21,Chennai Metro,GEN,2021,Tiruvallur
10,Thiruvottiyur,K.P.SHANKAR,DMK,88185,K.KUPPAN,AIADMK,50524,37661,199996,44.09,21,Chennai Metro,GEN,2021,Tiruvallur
11,Dr. Radhakrishnan Nagar,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,RAAJESH.R.S.,AIADMK,53284,42479,187027,51.2,32,Chennai Metro,GEN,2021,Chennai
12,Perambur,SHEKAR. R.D,DMK,105267,DHANAPALAN N.R,AIADMK,50291,54976,200387,52.53,23,Chennai Metro,GEN,2021,Chennai
13,Kolathur,M.K. STALIN,DMK,105522,AADIRAJARAM,AIADMK,35138,70384,173388,60.86,37,Chennai Metro,GEN,2021,Chennai
14,Villivakkam,A . Vetriazhagan,DMK,76127,J.C.D.Prabhakar,AIADMK,38890,37237,144092,52.83,24,Chennai Metro,GEN,2021,Chennai
15,Thiru-Vi-Ka-Nagar,SIVAKUMAR.P,DMK,81727,KALYANI.P.L,AIADMK,26714,55013,133696,61.13,24,Chennai Metro,SC,2021,Chennai
16,Egmore,I.PARANTHAMEN,DMK,68832,B.JOHN PANDIAN,AIADMK,30064,38768,119271,57.71,19,Chennai Metro,SC,2021,Chennai
17,Royapuram,MURTHY.R.IDREAM,DMK,64424,JAYAKUMAR.D,AIADMK,36645,27779,121191,53.16,27,Chennai Metro,GEN,2021,Chennai
18,Harbour,SEKARBABU. P.K,DMK,59317,VINOJ. P. SELVAM,BJP,32043,27274,101650,58.35,29,Chennai Metro,GEN,2021,Chennai
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,93285,KASSALI A.V.A,PMK,23930,69355,137405,67.89,27,Chennai Metro,GEN,2021,Chennai
20,Thousand Lights,EZHILAN N,DMK,71867,KUSHBOO SUNDAR,BJP,39405,32462,135940,52.87,21,Chennai Metro,GEN,2021,Chennai
21,Anna Nagar,M.K. Mohan,DMK,80054,S. Gokula Indira,AIADMK,52609,27445,165096,48.49,24,Chennai Metro,GEN,2021,Chennai
22,Virugampakkam,AMV.PRABHAKARA RAJA,DMK,74351,VIRUGAI V.N.RAVI,AIADMK,55984,18367,169087,43.97,28,Chennai Metro,GEN,2021,Chennai
23,Saidapet,SUBRAMANIAN. MA,DMK,80194,SAIDAI DURAISAMY,AIADMK,50786,29408,160327,50.02,31,Chennai Metro,GEN,2021,Chennai
24,Theayagaraya Nagar,KARUNANITHI J,DMK,56035,SATHIYANAARAYANAN B,AIADMK,55898,137,138114,40.57,15,Chennai Metro,GEN,2021,Chennai
25,Mylapore,VELU.DHA,DMK,68392,NATARAJ.R,AIADMK,55759,12633,153430,44.58,24,Chennai Metro,GEN,2021,Chennai
26,Velachery,JMH.AASSAN MAULAANA,INC,68493,M.K.ASHOK,AIADMK,64141,4352,176714,38.76,24,Chennai Metro,GEN,2021,Chennai
