ac_number,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin,total_valid_votes,winner_vote_share,num_candidates,region,reserved,year,district,party_2021,flipped,alliance,margin_bin,vote_share_cat
1,Gummidipoondi,S.VIJAYAKUMAR,TVK,94320,SUDHAKAR.V,AIADMK,66375,27945,232522,40.56,16,Chennai Metro,GEN,2026,Tiruvallur,DMK,Yes,TVK,5_15000_50000,Competitive_35to50
2,Ponneri,DR.RAVI.M.S,TVK,110439,DURAI CHANDRASEKAR,INC,54671,55768,226819,48.69,14,Chennai Metro,SC,2026,Tiruvallur,INC,Yes,TVK,6_Over_50000,Competitive_35to50
3,Tiruttani,G.HARI,AIADMK,89169,M.SATHYA KUMAR,TVK,83376,5793,238798,37.34,14,Chennai Metro,GEN,2026,Tiruvallur,DMK,Yes,AIADMK+,4_5000_15000,Competitive_35to50
4,Thiruvallur,DR. T. ARUNKUMAR,TVK,92190,V.G. RAAJENDRAN,DMK,67430,24760,226428,40.71,15,Chennai Metro,GEN,2026,Tiruvallur,DMK,Yes,TVK,5_15000_50000,Competitive_35to50
5,Poonamallee,PRAKASAM.R,TVK,161309,KRISHNASWAMY.A,DMK,88569,72740,308894,52.22,12,Chennai Metro,SC,2026,Tiruvallur,DMK,Yes,TVK,6_Over_50000,Dominant_50plus
6,Avadi,R.RAMESH KUMAR,TVK,180384,S.M.NASAR,DMK,104073,76311,346005,52.13,21,Chennai Metro,GEN,2026,Tiruvallur,DMK,Yes,TVK,6_Over_50000,Dominant_50plus
7,Maduravoyal,RHEVANTH CHARAN,TVK,141725,GANAPATHY. K,DMK,80216,61509,293692,48.26,22,Chennai Metro,GEN,2026,Tiruvallur,DMK,Yes,TVK,6_Over_50000,Competitive_35to50
8,Ambattur,BALAMURUGAN.G,TVK,133339,DR A.P. POORNIMA,DMK,74558,58781,259986,51.29,24,Chennai Metro,GEN,2026,Tiruvallur,DMK,Yes,TVK,6_Over_50000,Dominant_50plus
9,Madavaram,M.L.VIJAYPRABHU,TVK,190462,S.SUDHARSANAM,DMK,95477,94985,361998,52.61,16,Chennai Metro,GEN,2026,Tiruvallur,DMK,Yes,TVK,6_Over_50000,Dominant_50plus
10,Thiruvottiyur,SENTHIL KUMAR. N,TVK,110067,SUNDARARAJ. L,CPI(M),56503,53564,207088,53.15,16,Chennai Metro,GEN,2026,Tiruvallur,DMK,Yes,TVK,6_Over_50000,Dominant_50plus
11,Dr.Radhakrishnan Nagar,N. MARIE WILSON,TVK,97800,J. JOHN EBENEZER,DMK,48132,49668,181206,53.97,39,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,5_15000_50000,Dominant_50plus
12,Perambur,C. JOSEPH VIJAY,TVK,120365,R.D. SHEKAR,DMK,66650,53715,204384,58.89,48,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,6_Over_50000,Dominant_50plus
13,Kolathur,V. S. BABU,TVK,82997,M. K. STALIN,DMK,74202,8795,184051,45.09,36,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,4_5000_15000,Competitive_35to50
14,Villivakkam,AADHAV ARJUNA,TVK,66445,KARTHIK MOHAN,DMK,49143,17302,141452,46.97,29,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,5_15000_50000,Competitive_35to50
15,Thiru-Vi-Ka-Nagar,M. R. PALLAVI,TVK,69125,K. S. RAVICHANDRAN,DMK,46792,22333,143903,48.04,24,Chennai Metro,SC,2026,Chennai,DMK,Yes,TVK,5_15000_50000,Competitive_35to50
16,Egmore,RAJMOHAN,TVK,53901,TAMILAN PRASANNA,DMK,43097,10804,119738,45.02,19,Chennai Metro,SC,2026,Chennai,DMK,Yes,TVK,4_5000_15000,Competitive_35to50
17,Royapuram,K.V. VIJAY DAMU,TVK,59091,DR. A. SUBAIR KHAN,DMK,44842,14249,127356,46.4,29,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,4_5000_15000,Competitive_35to50
18,Harbour,P K SEKARBABU,DMK,45254,SINORA P S ASHOK,TVK,33504,11750,99622,45.43,24,Chennai Metro,GEN,2026,Chennai,DMK,No,SPA,4_5000_15000,Competitive_35to50
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,62992,SELVAM. D,TVK,55852,7140,140741,44.76,27,Chennai Metro,GEN,2026,Chennai,DMK,No,SPA,4_5000_15000,Competitive_35to50
20,Thousand Lights,PRABHAKAR.J.C.D,TVK,58965,EZHILAN NAGANATHAN,DMK,43824,15141,131824,44.73,19,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,5_15000_50000,Competitive_35to50
21,Anna Nagar,V.K.RAMKUMAR,TVK,71375,N.CHITRARASU,DMK,50012,21363,163339,43.7,25,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,5_15000_50000,Competitive_35to50
22,Virugampakkam,SABARINATHAN.R,TVK,76092,PRABHAKARA RAJA.A.M.V,DMK,49006,27086,172831,44.03,25,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,5_15000_50000,Competitive_35to50
23,Saidapet,ARUL PRAKASAM. M,TVK,81205,SUBRAMANIAN. MA,DMK,52691,28514,160401,50.63,16,Chennai Metro,GEN,2026,Chennai,DMK,Yes,TVK,5_15000_50000,Dominant_50plus
